Task ID,Occupation (O*NET-SOC Title),Task,task_group,task_group_vi,quality_critical_task,automation_exposure_index,worker_pull_index,human_complementarity_index,innovation_momentum_index,skill_shift_pressure,code_acceleration_potential,quality_risk_need,transition_type,mismatch_type,agent_recommendation,recommendation_rationale
1269,Computer Programmers,"Compile and write documentation of program development and subsequent revisions, inserting comments in the coded instructions so others can understand the program.",Code generation / development,Sinh code / phát triển,False,0.9704134586537964,0.6737263033175356,0.132910378362632,0.991553261379634,5.226809399574872,0.8785643411169887,0.16417997554303893,Worker-pulled automation,Moderate or mixed,Agent bán tự động,"Tín hiệu AI/innovation cao và rủi ro chất lượng thấp hơn; cần logging, test và rollback."
14707,Web Developers,Write supporting code for Web applications or Web sites.,Code generation / development,Sinh code / phát triển,False,0.9627304187675656,0.5337677725118483,0.29926529080255,0.9712576255279212,3.533127228826169,0.8225852722691117,0.25576870365301846,Automation candidate,Moderate or mixed,Agent bán tự động,"Tín hiệu AI/innovation cao và rủi ro chất lượng thấp hơn; cần logging, test và rollback."
16135,Business Intelligence Analysts,"Maintain library of model documents, templates, or other reusable knowledge assets.",Architecture / governance,Kiến trúc / quản trị,False,0.8807377012108084,0.6140402843601895,0.2086268808891577,0.9516658845612388,4.051137610237747,0.815481290044079,0.22924005355562277,Worker-pulled automation,Moderate or mixed,Agent bán tự động,"Tín hiệu AI/innovation cao và rủi ro chất lượng thấp hơn; cần logging, test và rollback."
1267,Computer Programmers,Correct errors by making appropriate changes and rechecking the program to ensure that the desired results are produced.,Code generation / development,Sinh code / phát triển,False,0.8273502268105741,0.6281101895734598,0.3412414708749286,0.9867433129985922,3.262262330501449,0.8140679097942088,0.2817389391473036,Worker-pulled automation,Moderate or mixed,Agent bán tự động,"Tín hiệu AI/innovation cao và rủi ro chất lượng thấp hơn; cần logging, test và rollback."
1276,Computer Programmers,"Prepare detailed workflow charts and diagrams that describe input, output, and logical operation, and convert them into a series of instructions coded in a computer language.",Code generation / development,Sinh code / phát triển,False,0.9417261015894912,0.4748222748815165,0.1777929033197763,0.9954246832473016,3.614429898691947,0.803991019906103,0.13819822582994407,Automation candidate,Moderate or mixed,Agent bán tự động,"Tín hiệu AI/innovation cao và rủi ro chất lượng thấp hơn; cần logging, test và rollback."
14722,Web Developers,"Provide clear, detailed descriptions of Web site specifications, such as product features, activities, software, communication protocols, programming languages, and operating systems software and hardware.",Code generation / development,Sinh code / phát triển,False,0.933253221166822,0.4930390995260664,0.1020878850010643,0.9603472548099484,4.036864062982129,0.7955465251676123,0.05052197125026608,Automation candidate,Moderate or mixed,Agent bán tự động,"Tín hiệu AI/innovation cao và rủi ro chất lượng thấp hơn; cần logging, test và rollback."
1275,Computer Programmers,"Investigate whether networks, workstations, the central processing unit of the system, or peripheral equipment are responding to a program's instructions.",Code generation / development,Sinh code / phát triển,False,0.9449813647579406,0.4529028436018957,0.1494120645804622,0.9869779446269356,3.62248087120092,0.7949540509955906,0.252531587573687,Automation candidate,Moderate or mixed,Agent bán tự động,"Tín hiệu AI/innovation cao và rủi ro chất lượng thấp hơn; cần logging, test và rollback."
14698,Web Developers,Back up files from Web sites to local directories for instant recovery in case of problems.,Code generation / development,Sinh code / phát triển,False,0.7129048168185472,0.7249703791469194,0.0673383527724558,0.9129516658845612,4.5686936346755,0.7836089539500093,0.1323107786693044,Worker-pulled automation,Aligned automation opportunity,Agent bán tự động,"Tín hiệu AI/innovation cao và rủi ro chất lượng thấp hơn; cần logging, test và rollback."
14700,Web Developers,"Evaluate code to ensure that it is valid, is properly structured, meets industry standards, and is compatible with browsers, devices, or operating systems.",Code generation / development,Sinh code / phát triển,False,0.8870023559348819,0.4841528436018957,0.408405599811771,0.9555373064289066,2.336854168530074,0.775564168655228,0.27174425709579986,Automation candidate,Moderate or mixed,Agent bán tự động,"Tín hiệu AI/innovation cao và rủi ro chất lượng thấp hơn; cần logging, test và rollback."
16140,Business Intelligence Analysts,Manage timely flow of business intelligence information to users.,Other CS tasks,Task CS khác,False,0.7025190820781743,0.6236670616113744,0.6580207387986958,0.9622243078366964,1.1498609529261743,0.7628034838420817,0.5430766132711025,AI-augmented human premium,Moderate or mixed,"Con người dẫn dắt, AI hỗ trợ","Phán đoán con người vẫn là trung tâm; AI nên hỗ trợ checklist, tóm tắt và phân tích nháp."
14626,Computer and Information Research Scientists,"Apply theoretical expertise and innovation to create or apply new technology, such as adapting principles for applying computers to new uses.",Other CS tasks,Task CS khác,False,0.6560972421446477,0.6412914691943129,0.8002571342139759,0.9880337869544816,0.3739446412596889,0.7618074994311473,0.6653420613312717,AI-augmented human premium,Moderate or mixed,"Con người dẫn dắt, AI hỗ trợ","Phán đoán con người vẫn là trung tâm; AI nên hỗ trợ checklist, tóm tắt và phân tích nháp."
14652,Software Quality Assurance Analysts and Testers,"Install, maintain, or use software testing programs.",Quality control / QA / review,Kiểm thử / QA / review,True,0.7583815631680485,0.5533175355450237,0.7835876665210133,0.9666823087752228,0.403267541890123,0.759460469162765,0.6453016785350153,AI-augmented human premium,Moderate or mixed,"Con người dẫn dắt, AI hỗ trợ","Phán đoán con người vẫn là trung tâm; AI nên hỗ trợ checklist, tóm tắt và phân tích nháp."
