Task ID,Occupation (O*NET-SOC Title),Task,task_group_vi,quality_critical_task,code_acceleration_potential,quality_risk_need,human_complementarity_index,reskilling_priority_score,agent_recommendation
1319,Network and Computer Systems Administrators,"Plan, coordinate, and implement network security measures to protect data, software, and hardware.",Kiểm thử / QA / review,True,0.6919581252582233,0.843930776236413,0.9292945335170806,0.8044826551653042,"Con người dẫn dắt, AI hỗ trợ"
16283,Clinical Data Managers,Analyze clinical data using appropriate statistical tools.,Task CS khác,False,0.7828417015554643,0.7785815322734251,0.8087705735381444,0.7878328603024206,Copilot + review bắt buộc
14667,Computer Systems Engineers/Architects,"Provide advice on project costs, design concepts, or design changes.",Kiến trúc / quản trị,True,0.7496392989205959,0.6774296302165113,0.9240042351517596,0.7679571489319572,"Con người dẫn dắt, AI hỗ trợ"
1317,Network and Computer Systems Administrators,Perform data backups and disaster recovery operations.,Kiến trúc / quản trị,True,0.6502907342926753,0.8320231532833631,0.8280926131334521,0.7583475506496102,"Con người dẫn dắt, AI hỗ trợ"
16274,Clinical Data Managers,"Track the flow of work forms, including in-house data flow or electronic forms transfer.",Task CS khác,False,0.7810152890501377,0.7143104333427768,0.7084322095615834,0.7395228196804229,Copilot + review bắt buộc
14672,Computer Systems Engineers/Architects,Provide technical guidance or support for the development or troubleshooting of systems.,Kiểm thử / QA / review,True,0.7930802054123242,0.6649823095182074,0.7551673333109251,0.7387677238240336,Copilot + review bắt buộc
14626,Computer and Information Research Scientists,"Apply theoretical expertise and innovation to create or apply new technology, such as adapting principles for applying computers to new uses.",Task CS khác,False,0.7618074994311473,0.6653420613312717,0.8002571342139759,0.737657004791898,"Con người dẫn dắt, AI hỗ trợ"
14633,Computer and Information Research Scientists,Design computers and the software that runs them.,Sinh code / phát triển,False,0.770798099375951,0.6810633916266919,0.7480630903162918,0.7337071993987956,Copilot + review bắt buộc
14675,Computer Systems Engineers/Architects,Monitor system operation to detect potential problems.,Kiểm thử / QA / review,True,0.8459554914879831,0.6563131431356449,0.6609668582568654,0.7333335112568853,Copilot + review bắt buộc
14670,Computer Systems Engineers/Architects,Collaborate with engineers or software developers to select appropriate design solutions or ensure the compatibility of system components.,Kiểm thử / QA / review,True,0.7268750464312755,0.655581555081782,0.8366119346128421,0.7293565465043444,"Con người dẫn dắt, AI hỗ trợ"
16150,Business Intelligence Analysts,"Generate standard or custom reports summarizing business, financial, or economic data for review by executives, managers, clients, and other stakeholders.",Kiểm thử / QA / review,True,0.7749067875340141,0.6167264285634256,0.813334285682274,0.7291505364313732,Copilot + review bắt buộc
14652,Software Quality Assurance Analysts and Testers,"Install, maintain, or use software testing programs.",Kiểm thử / QA / review,True,0.759460469162765,0.6453016785350153,0.7835876665210133,0.7255366917826147,"Con người dẫn dắt, AI hỗ trợ"
1272,Computer Programmers,"Perform or direct revision, repair, or expansion of existing programs to increase operating efficiency or adapt to new requirements.",Sinh code / phát triển,False,0.7210173571105819,0.6820409898186696,0.7638782449889641,0.7180908505280081,"Con người dẫn dắt, AI hỗ trợ"
16170,Information Technology Project Managers,"Develop or update project plans for information technology projects including information such as project objectives, technologies, systems, information specifications, schedules, funding, and staffing.",Sinh code / phát triển,False,0.6688922901655344,0.6319396526887451,0.9063300393264092,0.7153183043388769,"Con người dẫn dắt, AI hỗ trợ"
7368,Mathematicians,Develop computational methods for solving problems that occur in areas of science and engineering or that come from applications in business or industry.,Sinh code / phát triển,False,0.6164432814675493,0.7368645371664178,0.7867438629513854,0.7011658663331124,"Con người dẫn dắt, AI hỗ trợ"
